"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,INDICA,58001,2019-12-27T10:56:08
"Pain Re-Leaf Ointment (1/2oz) [80mg]",CH-W-0027,24,,58001,2019-12-27T10:56:08
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,24,,58001,2019-12-27T10:56:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58001,2019-12-27T10:56:08
"420º Hot Sauce (5oz) [200mg]",CB-W-0013,12,,58001,2019-12-27T10:56:08
"420º Hot Sauce (5oz) [200mg]",CB-W-0013,12,,58001,2019-12-27T10:56:08
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,12,INDICA,58000,2019-12-27T10:52:08
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,12,INDICA,57999,2019-12-27T08:40:08
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,24,INDICA,57999,2019-12-27T08:40:08
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,Sativa,57999,2019-12-27T08:40:08
"SAMPLE - Basic Brownie [75mg]",AE-S-0044,6,,57998,2019-12-27T07:28:53
"SAMPLE - Super Mega Brownie [225mg]",AE-S-0046,6,,57998,2019-12-27T07:28:53
"SAMPLE - Lemon Haze Cookies [4x25mg]",AE-S-0049,6,,57998,2019-12-27T07:28:53
"SAMPLE - Cheeba Chip Cookies [4x25mg]",AE-S-0047,6,,57998,2019-12-27T07:28:53
"SAMPLE - 420º Hot Sauce (5oz) [200mg]",CB-S-0012,3,,57998,2019-12-27T07:28:53
"SAMPLE - Prickly Lemonade Juice Blend (8oz) [100mg]",PS-S-0014,6,,57998,2019-12-27T07:28:53
"SAMPLE - Pain Re-Leaf Ointment (1/2oz) [80mg]",CH-S-0027,2,,57998,2019-12-27T07:28:53
"SAMPLE - High CBD Ointment (1/2oz) [80mg]",CH-S-0028,2,,57998,2019-12-27T07:28:53
"SAMPLE - Hemp CBD Ointment (1/2oz) [80mg CBD]",CH-S-0029-1,2,,57998,2019-12-27T07:28:53
"SAMPLE - High CBD Glycerin Tincture (1/2oz) [200mg]",CH-S-0003,1,,57998,2019-12-27T07:28:53
"SAMPLE - THC Glycerin Tincture (1/2oz) [200mg]",CH-S-0005,1,,57998,2019-12-27T07:28:53
"SAMPLE - High CBD Muscle and Joint Therapy Roll-On (1/3oz) [50mg]",CH-S-0014,2,,57998,2019-12-27T07:28:53
"SAMPLE - Muscle and Joint Therapy Roll-On (1/3oz) [50mg]",CH-S-0016,2,,57998,2019-12-27T07:28:53
"SAMPLE - Daily Dose Gummies [2x15mg]",CB-S-0021,12,,57998,2019-12-27T07:28:53
"SAMPLE - Daily Dose Vanilla Caramels [2x15mg]",CB-S-0020,12,,57998,2019-12-27T07:28:53
"SAMPLE - High CBD Gummies [2×15mg] 1:1 THC:CBD",CB-S-0025-1-1,12,,57998,2019-12-27T07:28:53
